Year;The organization works (1 - works, 0 - no);The organization receives agricultural production from the activity (1 - yes, 0 - no);Number of workers last year, persons;Average monthly salary of workers last year;Size of acreage last year, hectare;Conditional livestock of farm animals last year, heads;Quantity of agricultural machinery last year, pieces;Cost of fixed assets of the organization last year;Costs of production of the organization last year;Prime cost of the made agricultural production last year;Proceeds from sales of the made agricultural production last year;Profit on realization of the made agricultural production last year
2017;1;1;101;20251.65017;3781;1951;34;157430;100569;69046;71776;2730
2017;1;1;13;14891.02564;1439;0;7;38754;27671;14204;15561;1357
2017;1;1;52;14908.65385;13462;0;0;71022;221215;101723;195698;93975
2017;1;1;16;14333.33333;2230;0;12;19186;28975;31749;45948;14199
2017;1;1;10;9608.333333;450;558;6;17650;13161;10647;12200;1553
2017;1;1;47;14262.41135;3162;760;30;89497;52079;37425;39104;1679
2017;1;1;44;14403.40909;2840;787;31;74500;54161;33138;33568;430
2017;1;1;80;18489.58333;5986;1308;25;160522;96143;71686;78073;6387
2017;1;1;49;15795.91837;2862;755;10;66384;42783;33330;38570;5240
2017;1;1;157;19863.58811;4625;2205;48;311483;206595;141610;146063;4453
2017;1;1;49;21054.42177;2878;623;26;58766;54038;37930;37221;-709
2017;1;1;13;11564.10256;1406;0;1;3363;3231;1998;1899;-99
2017;1;1;60;15240.27778;3438;769;22;89967;49160;36585;37645;1060
2017;1;1;73;18616.43836;3282;864;22;98391;67216;43202;51371;8169
2017;1;1;112;19237.35119;5494;1405;21;117745;104283;68751;74329;5578
2017;1;1;86;23253.87597;4280;1647;27;133530;114003;64927;76261;11334
2017;1;1;83;18101.40562;3684;1212;25;119510;81510;53429;54891;1462
2017;1;1;193;18575.12953;7940;2309;44;304730;210495;128875;144896;16021
2017;1;1;100;17625.83333;4674;2309;35;173317;103734;73467;80592;7125
2017;1;1;29;22324.71264;2157;747;11;75336;41473;27265;28218;953
2017;1;1;60;16494.44444;4520;689;21;87061;67295;50444;52252;1808
2017;1;1;85;15020.58824;4225;686;19;101142;55609;41667;49488;7821
2017;1;1;13;15551.28205;2793;82;7;24381;15664;12682;8127;-4555
2017;1;1;1;16666.66667;0;70;4;15445;637;28;10;-18
2017;1;1;25;9930;4927;260;0;245;22772;21119;20185;-934
2017;1;1;87;18341.95402;4317;1066;14;59406;96926;72977;75455;2478
2017;1;1;62;15220.43011;3611;810;20;43589;43628;26872;27348;476
2017;1;1;80;10543.75;24000;0;48;319046;188051;107915;130137;22222
2017;1;1;7;15083.33333;8093;108;16;11859;8254;3730;5914;2184
2017;1;1;131;18261.45038;4953;1543;30;126373;122652;79806;84413;4607
2017;1;1;85;20007.84314;2947;974;23;99767;82224;49742;68935;19193
2017;1;1;137;19863.74696;2817;1645;30;195917;130867;94366;89592;-4774
2017;1;1;96;17975.69444;3495;1283;25;132399;99316;62145;74934;12789
2017;1;1;50;9531.666667;2976;590;11;43168;28259;16950;16898;-52
2017;1;1;10;13141.66667;1307;154;5;7307;5240;4828;4804;-24
2017;1;1;94;20747.34043;1997;988;37;278106;115794;68565;87615;19050
